asset_id,original_file_name,new_file_name,file_path,file_type,media_format,source_folder,source_drive_link,import_date,status,media_category,product_type,texture,length_visible_estimate,color_tone,density_visible_estimate,closure_or_frontal_visible,wig_visible,bundle_count_visible,install_state,visual_quality_score,lighting_quality_score,clarity_score,luxury_score,usable_for_website,usable_for_instagram,usable_for_ads,usable_for_product_page,usable_for_blog,needs_manual_review,review_notes,candidate_sku,candidate_collection,campaign_angle,caption_angle,customer_persona_fit,funnel_stage_fit,priority_rank,suggested_alt_text,suggested_title,suggested_short_description,suggested_tags,markdown_reference_path
AST-0113,IMG_4222.HEIC,raw-bone-straight-24in-5x5-brown-wig-262usd-2.jpg,assets/processed/raw-bone-straight-24in-5x5-brown-wig-262usd-2.jpg,image,heic,Local,,2026-04-03,processed,unknown,wig,bone_straight,24,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 262USD,,,,,,,5,,,,,
AST-0114,IMG_4229.HEIC,IMG_4229.HEIC,assets/raw/IMG_4229.HEIC,image,heic,Local,,2026-04-03,imported,unknown,unknown,unknown,,,,,,,,,,,,yes,yes,yes,yes,yes,no,,,,,,,,5,,,,,
AST-0115,IMG_4230.HEIC,IMG_4230.HEIC,assets/raw/IMG_4230.HEIC,image,heic,Local,,2026-04-03,imported,unknown,unknown,unknown,,,,,,,,,,,,yes,yes,yes,yes,yes,no,,,,,,,,5,,,,,
AST-0116,IMG_4231.MOV,raw-body-wave-20in-5x5-wig-205usd-4.mov,assets/processed/raw-body-wave-20in-5x5-wig-205usd-4.mov,video,mov,Local,,2026-04-03,processed,unknown,wig,body_wave,20,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 205USD,,,,,,,5,,,,,
AST-0117,IMG_4305.HEIC,raw-bone-straight-20in-bundles-170usd.jpg,assets/processed/raw-bone-straight-20in-bundles-170usd.jpg,image,heic,Local,,2026-04-03,processed,unknown,bundle,bone_straight,20,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 170USD,,,,,,,5,,,,,
AST-0118,IMG_4306.MOV,raw-bone-straight-20in-bundles-128usd-3.mov,assets/processed/raw-bone-straight-20in-bundles-128usd-3.mov,video,mov,Local,,2026-04-03,processed,unknown,bundle,bone_straight,20,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 128USD,,,,,,,5,,,,,
AST-0119,IMG_4307.HEIC,IMG_4307.HEIC,assets/raw/IMG_4307.HEIC,image,heic,Local,,2026-04-03,imported,unknown,unknown,unknown,,,,,,,,,,,,yes,yes,yes,yes,yes,no,,,,,,,,5,,,,,
AST-0120,IMG_4309.HEIC,IMG_4309.HEIC,assets/raw/IMG_4309.HEIC,image,heic,Local,,2026-04-03,imported,unknown,unknown,unknown,,,,,,,,,,,,yes,yes,yes,yes,yes,no,,,,,,,,5,,,,,
AST-0121,IMG_4310.MOV,raw-bone-straight-24in-5x5-brown-wig-262usd-12.mov,assets/processed/raw-bone-straight-24in-5x5-brown-wig-262usd-12.mov,video,mov,Local,,2026-04-03,processed,unknown,wig,bone_straight,24,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 262USD,,,,,,,5,,,,,
AST-0122,IMG_4312.MOV,raw-bone-straight-20in-bundles-closure-149usd-2.mov,assets/processed/raw-bone-straight-20in-bundles-closure-149usd-2.mov,video,mov,Local,,2026-04-03,processed,unknown,bundle,bone_straight,20,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 149USD,,,,,,,5,,,,,
AST-0123,IMG_4314.HEIC,raw-bone-straight-20in-bundles-closure-149usd.jpg,assets/processed/raw-bone-straight-20in-bundles-closure-149usd.jpg,image,heic,Local,,2026-04-03,processed,unknown,bundle,bone_straight,20,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 149USD,,,,,,,5,,,,,
AST-0124,IMG_4315.MOV,raw-bone-straight-22in-frontal-42usd-2.mov,assets/processed/raw-bone-straight-22in-frontal-42usd-2.mov,video,mov,Local,,2026-04-03,processed,unknown,frontal,bone_straight,22,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 42USD,,,,,,,5,,,,,
AST-0125,IMG_4324.heic,virgin-body-wave-14in-highlight-bob-wig-128usd-2.jpg,assets/processed/virgin-body-wave-14in-highlight-bob-wig-128usd-2.jpg,image,heic,Local,,2026-04-03,processed,unknown,wig,body_wave,14,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 128USD,,,,,,,5,,,,,
AST-0126,IMG_4325.heic,virgin-body-wave-14in-highlight-bob-wig-128usd.jpg,assets/processed/virgin-body-wave-14in-highlight-bob-wig-128usd.jpg,image,heic,Local,,2026-04-03,processed,unknown,wig,body_wave,14,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 128USD,,,,,,,5,,,,,
AST-0127,IMG_4328.HEIC,raw-bone-straight-20in-frontal-38usd.jpg,assets/processed/raw-bone-straight-20in-frontal-38usd.jpg,image,heic,Local,,2026-04-03,processed,unknown,frontal,bone_straight,20,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 38USD,,,,,,,5,,,,,
AST-0128,IMG_4330.MOV,raw-body-wave-20in-5x5-wig-205usd-5.mov,assets/processed/raw-body-wave-20in-5x5-wig-205usd-5.mov,video,mov,Local,,2026-04-03,processed,unknown,wig,body_wave,20,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 205USD,,,,,,,5,,,,,
AST-0129,IMG_4332.HEIC,IMG_4332.HEIC,assets/raw/IMG_4332.HEIC,image,heic,Local,,2026-04-03,imported,unknown,unknown,unknown,,,,,,,,,,,,yes,yes,yes,yes,yes,no,,,,,,,,5,,,,,
AST-0130,IMG_5016.HEIC,IMG_5016.HEIC,assets/raw/IMG_5016.HEIC,image,heic,Local,,2026-04-03,imported,unknown,unknown,unknown,,,,,,,,,,,,yes,yes,yes,yes,yes,no,,,,,,,,5,,,,,
AST-0131,IMG_5017.MOV,raw-bone-straight-20in-bundles-128usd-4.mov,assets/processed/raw-bone-straight-20in-bundles-128usd-4.mov,video,mov,Local,,2026-04-03,processed,unknown,bundle,bone_straight,20,,,,,,,,,,,yes,yes,yes,yes,yes,no,Price: 128USD,,,,,,,5,,,,,
